114.8,68.13.3
114.5,68.43.1
114.5,68.43.3
114.6,68.43.3
114.5,68.43.3
114.6,68.43.3
114.6,68.43.6
114.5,68.46.4
114.2,68.78.8
114.1,68.915.7
113.5,69.520.6
112.9,69.927.8
112.3,70.537.1
111.9,71.240.9
112.4,71.044.6
112.8,70.748.6
112.7,70.850.4
113.7,70.257.0
113.7,70.058.0
114.9,67.061.9
116.7,66.562.0
117.1,66.661.0
118.0,66.960.1
118.2,67.559.7
117.8,67.657.7
118.0,67.357.3
118.0,67.357.0
117.6,67.056.9
117.4,67.057.0
117.4,67.056.7
117.4,67.056.9
117.4,67.057.0
117.4,67.057.2
117.4,67.157.0
117.2,66.857.0
117.2,66.957.0
117.2,66.957.0
117.2,66.956.8
117.2,66.957.1
117.4,67.157.3
117.4,67.057.4
117.4,67.057.5
117.5,66.957.6
117.5,66.757.7
117.5,66.757.7
117.5,66.357.8
117.6,66.357.8
117.5,66.158.0
117.7,66.158.3
117.6,65.958.2
117.6,65.958.5
117.6,65.958.8
117.5,66.059.0
117.5,65.959.1
117.5,65.959.6
117.3,66.259.8
117.2,66.360.4
117.1,66.460.8
117.0,66.361.0
116.9,66.261.4
116.7,66.061.5
116.7,65.861.6
116.9,65.862.4
117.0,65.962.7
117.1,65.963.0
117.4,65.863.4
117.8,65.464.0
118.1,65.063.9
118.3,64.564.6
118.4,64.264.9
118.5,63.865.4
118.5,63.965.5
118.5,63.765.5
118.5,63.766.0
118.3,63.566.7
118.1,63.766.9
117.9,63.967.6
117.9,64.067.5
117.8,64.468.0
117.7,64.768.2
117.7,64.968.3
117.6,65.268.5
117.6,65.468.9
117.5,65.669.2
117.3,65.869.6
117.2,66.069.7
117.2,66.069.7
117.0,66.169.6
117.0,66.169.7
116.9,66.269.9
116.7,66.369.9
116.5,66.169.8
116.5,66.070.0
116.5,66.170.4
116.4,66.170.7
116.4,66.271.0
116.3,66.271.3
115.9,63.671.1
116.0,63.671.2
115.9,63.671.2
115.9,63.671.2
115.9,63.671.7
115.9,63.771.7
115.9,63.772.0
117.0,62.971.9
117.0,62.972.0
117.0,62.972.0
117.0,62.972.0
117.0,62.970.7
117.2,62.770.4
115.5,63.169.6
115.6,62.968.9
115.7,62.868.2
115.8,62.767.9
115.8,62.767.4
115.9,62.666.9
116.0,62.566.0
116.1,62.465.4
112.1,63.064.4
112.2,62.964.4
112.2,62.964.5
112.2,62.963.1
112.4,62.763.1
112.4,62.762.0
112.5,62.561.9
110.7,63.760.7
110.8,63.559.6
110.9,63.458.4
111.0,63.257.7
111.1,63.157.2
111.2,63.056.9
111.2,63.056.0
112.0,63.455.9
112.0,63.455.4
112.1,63.354.9
112.1,63.254.8
112.1,63.254.7
112.1,63.254.6
112.1,63.253.7
112.2,63.153.6
112.0,62.453.2
112.1,62.352.5
112.2,62.252.2
112.2,62.251.7
112.2,62.151.1
112.3,62.051.0
112.3,62.051.0
112.3,62.051.0
113.7,64.251.0
113.7,64.251.0
113.7,64.251.1
113.7,64.251.3
113.7,64.251.3
113.7,64.251.4
113.7,64.251.6
113.7,64.251.4
114.2,65.151.4
114.2,65.151.4
114.2,65.151.5
114.2,65.151.4
114.2,65.151.5
114.2,65.151.5
114.2,65.151.8
114.1,65.251.8
111.2,64.051.9
111.2,64.151.9
111.2,64.151.9
110.5,63.851.9
110.5,63.851.7
110.3,63.852.0
110.3,63.852.0
110.4,64.152.0
110.4,64.151.9
110.8,64.652.1
110.8,64.652.1
111.6,65.352.1
111.6,65.352.0
112.5,66.052.0
113.1,66.452.2
113.1,66.551.9
113.0,66.951.6
113.1,66.851.8
112.1,67.251.8
112.1,67.251.7
110.2,67.651.5
110.2,67.651.5
108.4,68.051.4
106.3,68.251.4
106.3,68.251.3
103.1,68.551.3
100.4,68.851.3
100.4,68.851.5
97.8,69.351.5
97.8,69.351.5
95.2,69.951.5
95.2,69.951.5
92.7,70.851.4
90.3,71.751.5
90.3,71.751.1
87.8,72.751.1
87.8,72.750.7
87.8,72.650.7
85.9,73.551.3
85.0,73.951.7
84.5,74.151.4
84.5,74.051.7
84.5,74.151.8
84.5,74.152.1
84.4,73.752.3
85.0,72.352.8
85.7,71.252.4
86.3,69.952.7
86.5,69.252.7
86.4,68.153.1
86.2,68.053.1
86.0,68.152.9
85.8,68.352.9
85.3,69.252.8
85.1,69.852.9
84.6,70.252.9
84.3,70.952.8
83.9,71.453.0
83.6,71.953.0
83.4,72.352.5
82.8,72.652.9
82.5,72.652.9
82.1,72.653.1
81.6,72.553.1
80.8,72.153.1
80.6,71.953.0
80.3,71.553.0
79.9,71.353.0
79.8,70.953.0
79.7,70.452.9
79.4,69.853.0
79.3,69.553.0
79.2,69.053.0
79.1,68.953.3
79.1,68.652.9
79.2,68.353.1
79.4,68.153.2
79.8,68.053.7
80.5,68.254.0
80.5,68.253.8
80.9,68.254.1
80.9,68.454.3
81.1,68.554.1
81.1,68.554.1
81.1,68.554.1
81.1,68.454.1
81.1,68.454.1
81.0,68.454.0
81.1,68.254.0
80.9,68.053.8
80.8,67.553.8
80.7,67.253.4
80.6,66.953.1
80.4,66.953.1
80.4,66.953.0
80.4,66.953.1
80.4,66.952.8
80.4,66.952.8
80.6,66.952.7
80.6,66.952.5
80.5,67.152.4
80.5,67.052.4
